,IPC_CHL,FX_ARG,IPC_ARG,FX_ARG_BLUE,FX_PER,IPC_PER,FX_BOL,IPC_BOL,FX_BRA,IPC_BRA,FX_USA,IPC_USA,FX_CAN,IPC_CAN,FX_ESP,IPC_ESP,FX_FRA,IPC_FRA,FX_DEU,IPC_DEU,FX_GBR,IPC_GBR,FX_CHN,IPC_CHN,FX_AUS,IPC_AUS
2002-08-01,2.2,196.30428571428573,,,196.58142857142855,81.94888623563173,,65.46672023646889,225.88,0.649814906023083,702.3047619047619,180.5,447.3890476190476,106.69416328174904,686.4666666666666,109.05064609691756,686.4666666666666,104.49297875187708,686.4666666666666,104.30759716088414,1080.0766666666666,1.3,84.8647619047619,-0.7,379.9004761904762,110.94623609694165
2002-09-01,2.3,202.29368421052632,,,200.91368421052636,82.10117369267603,,65.6453105805787,221.5026315789474,0.7198105761641779,726.978947368421,180.8,462.2363157894737,106.89291224984773,712.501052631579,109.32539981763917,712.501052631579,104.65900604910274,712.501052631579,104.43030087632786,1130.2952631578949,1.2,87.86684210526316,-0.7,397.5352631578948,111.2182010150134
2002-10-01,3.0,204.96347826086955,,,205.38304347826087,82.25346114972032,,65.8239009246885,196.00304347826085,1.31022160925306,742.3173913043478,181.2,470.1278260869565,107.09203144581178,728.4013043478261,109.60084578191685,728.4013043478261,104.82529714456398,728.4013043478261,104.55314893602063,1156.1552173913044,1.5,89.70913043478261,-0.8,408.04,111.49083260659536
2002-11-01,3.0,204.346,,,197.8945,82.4057486067646,,66.0024912687983,198.1885,3.02022420923444,709.4765,181.5,451.547,107.2915215592985,710.158,109.8769857338622,710.158,104.99185245740576,710.158,104.6761415097639,1114.6105,1.6,85.72,-0.7,397.955,111.76413250591877
2002-12-01,2.8,203.7665,,,199.796,82.5580360638089,,66.18108161290809,193.095,2.09977825941146,701.949,181.8,450.8735,107.49138328124984,713.0245,110.1538214219811,713.0245,105.15867240743906,713.0245,104.79927876755876,1111.2705,1.7,84.8155,-0.4,394.6475,112.03810235122089
2003-01-01,3.0,225.06909090909093,,,206.78272727272727,82.7103235208532,,66.3596719570179,210.59136363636364,2.2502426732294705,722.4777272727273,182.6,468.6022727272728,107.69161730389484,767.1859090909091,110.43135459918476,767.1859090909091,105.32575741514184,767.1859090909091,104.92256087960632,1167.5068181818183,1.4,87.32045454545454,0.4,420.6495454545455,112.31274378475489
2003-02-01,3.8,241.7785,,,213.911,82.96276047363214,,66.60505790227111,207.7545,1.57023129147329,745.2135000000001,183.6,492.4865,107.93610313383022,803.1745,110.70719059040614,803.1745,105.50819528514452,803.1745,105.0125627469205,1200.333,1.6,90.0385,0.2,442.7925,112.565350048233
2003-03-01,4.5,248.06,,,213.5771428571429,83.2151974264111,,66.85044384752435,214.97809523809525,1.23015629499202,743.2833333333334,183.9,503.56523809523816,108.1811440053049,802.1223809523809,110.98371556614944,802.1223809523809,105.69094916119572,802.1223809523809,105.10264181723134,1176.571428571429,1.6,89.7995238095238,0.9,447.23285714285714,112.8185244567158
2003-04-01,4.0,255.28,,,207.3123809523809,83.46763437919005,,67.09582979277758,230.06761904761905,0.9699275818493108,718.2533333333333,183.2,492.2661904761905,108.42674117839648,779.6266666666667,111.26093124736364,779.6266666666667,105.87401959065892,779.6266666666667,105.1927981567631,1130.4204761904762,1.5,86.7747619047619,1.0,437.4452380952381,113.07226828803684
2003-05-01,3.5,253.779,,,202.2275,83.720071331969,,67.3412157380308,238.2445,0.610079943102307,703.58,182.9,508.084,108.67289591604316,813.522,111.53883935929636,813.522,106.0574071218457,813.522,105.28303183179678,1140.599,1.3,85.003,0.7,455.3085,113.32658282290365
2003-06-01,3.6,252.60700000000003,,,203.842,83.97250828474795,,67.58660168328402,246.063,-0.150103282074799,709.1845000000001,183.1,524.1274999999999,108.9196094840504,828.0345,111.81744163150448,828.0345,106.24111230401734,828.0345,105.37334290867024,1176.246,1.2,85.68100000000001,0.3,470.763,113.5814693449042
2003-07-01,3.1,251.0304347826087,,,202.00956521739133,84.2249452375269,,67.83198762853725,244.22086956521736,0.1999788528109419,701.1404347826086,183.7,509.26956521739135,109.1668831510973,798.2795652173913,112.09673979786504,798.2795652173913,106.42513568738654,798.2795652173913,105.46373145377828,1139.9052173913044,1.3,84.70695652173913,0.5,464.5039130434783,113.83692914051343
2003-08-01,2.9,241.052,,,202.261,84.47738219030585,,68.07737357379048,234.653,0.3399737564117868,703.7725,184.5,504.0705,109.41471818874317,785.3025,112.37673559658592,785.3025,106.60947782311904,785.3025,105.5541975335726,1122.597,1.4,85.0275,0.9,458.3505,114.09296349909982
2003-09-01,2.2,231.2695,,,194.0395,84.7298191430848,,68.3227595190437,230.85100000000003,0.7800675814704358,675.442,185.1,494.4155,109.66311587143404,757.486,112.65743077021676,757.486,106.79413926333528,757.486,105.64474121456196,1085.649,1.3,81.604,1.1,445.68549999999993,114.3495737129317
2003-10-01,1.2,226.21391304347827,,,185.7308695652174,84.98225609586375,,68.56814546429692,226.1191304347826,0.2899208275674399,646.0695652173913,184.9,488.09,109.91207747650928,756.2847826086957,112.93882706565972,756.2847826086957,106.979120561112,756.2847826086957,105.73536256331214,1083.1952173913044,1.3,78.05782608695652,1.8,447.6634782608696,114.60676107718392
2003-11-01,1.0,217.5865,,,179.8795,85.2346930486427,,68.81353140955015,215.049,0.3402037603373038,625.467,185.0,476.24,110.16160428420812,731.3455,113.22092623418033,731.3455,107.16442227048402,731.3455,105.826061646446,1056.002,1.3,75.5685,3.0,447.305,114.86452688994436
2003-12-01,1.1,203.705,,,173.65699999999998,85.48713000142165,78.1056862158844,69.05891735480338,206.1965,0.519847066673875,602.9045,185.5,458.8975,110.41169757767622,739.352,113.50373003141851,739.352,107.35004494644572,739.352,105.91683853064362,1054.154,1.3,72.84049999999999,3.2,444.5425,115.1228724522205
2004-01-01,0.8,198.4114285714286,,,165.43761904761905,85.7395669542006,72.82286504693334,69.3043033000566,201.3409523809524,0.759815024960848,573.6414285714285,186.3,443.15,110.66235864297232,723.6038095238096,113.78724021739944,723.6038095238096,107.53598914495292,723.6038095238096,106.00769328264218,1044.1666666666667,1.5,69.30428571428571,3.2,441.37428571428575,115.3817990679459
2004-02-01,0.0,199.4435,,,167.69400000000002,85.85505114443808,74.39261272295383,69.61578173486227,199.4055,0.6098565279132061,584.3059999999999,186.7,440.0085,110.83219161285729,738.35,114.07149180711376,738.35,107.72608967134678,738.35,106.15373243164592,1090.04,1.4,70.5915,2.1,453.764,115.60472255963772
2004-03-01,-0.7,208.54130434782607,,,174.2917391304348,85.97053533467556,76.96216075981822,69.92726016966793,208.0091304347826,0.469884475671748,603.9121739130435,187.1,454.42304347826087,111.00228522455411,740.8013043478261,114.35645348493726,740.8013043478261,107.9165262546312,740.8013043478261,106.29997276824636,1103.678695652174,1.2,72.96130434782609,3.0,453.2152173913044,115.82807675082935
2004-04-01,-0.3,214.65238095238092,,,175.35761904761904,86.08601952491304,77.33270721215597,70.23873860447361,209.35666666666663,0.3699218319938479,608.1871428571428,187.4,454.4619047619048,111.17263987806848,730.3385714285714,114.64212702473908,730.3385714285714,108.10729948888256,730.3385714285714,106.4464145696051,1098.8038095238096,1.1,73.49238095238096,3.8,453.49142857142857,116.05186247365414
2004-05-01,0.6,218.258,,,182.35,86.20150371515054,81.51615239003739,70.55021703927927,206.0015,0.5098391944365029,635.7574999999999,188.2,461.437,111.34325597401994,762.995,114.92851420481966,762.995,108.29840996922748,762.995,106.59305811326564,1135.3635,1.4,76.8195,4.4,448.4865,116.27608056185304
2004-06-01,1.1,217.519,,,185.0965,86.31698790538802,81.37073978672007,70.86169547408494,205.5165,0.709805000065487,643.4965,188.9,473.025,111.51413391364292,780.8835,115.2156168079218,780.8835,108.48985829184456,780.8835,106.73990367715376,1176.884,1.5,77.7575,5.0,446.6455,116.50073185077795
2004-07-01,1.4,214.21454545454543,,,183.8390909090909,86.4324720956255,81.08816825870379,71.1731739088906,208.13727272727277,0.909827787241604,632.3936363636363,189.1,478.1863636363637,111.6852740987876,775.9577272727273,115.50343662124178,775.9577272727273,108.68164505396636,775.9577272727273,106.88695153957816,1165.4386363636363,1.4,76.40636363636364,5.3,452.4395454545455,116.72581717739462
2004-08-01,1.6,211.26454545454544,,,187.3068181818182,86.54795628586298,81.28906131777472,71.48465234369627,211.6236363636364,0.689856616352078,635.9318181818181,189.2,484.2322727272728,111.85667693192086,774.7709090909091,115.79197543644044,774.7709090909091,108.87377085388124,774.7709090909091,107.03420197923091,1157.5295454545455,1.4,76.83363636363636,5.3,451.8377272727273,116.9513373802859
2004-09-01,1.5,205.94238095238092,,,183.5719047619048,86.66344047610046,77.89284852719462,71.79613077850193,212.99428571428567,0.330193508753993,616.5519047619048,189.8,478.0090476190477,112.02834281612726,753.0285714285715,116.0812350496544,753.0285714285715,109.06623629093514,753.0285714285715,107.18165527518808,1105.1566666666668,1.2,74.49428571428572,5.2,432.51142857142855,117.17729329965486
2004-10-01,1.9,204.6225,,,182.797,86.77892466633796,76.34255657819823,72.1076092133076,212.89,0.4400847003596961,607.2785,190.8,486.3135,112.20027215511,758.5785,116.37121726150716,758.5785,109.2590419655336,758.5785,107.32931170691012,1096.8635,1.3,73.374,4.3,444.843,117.40368577732782
2004-11-01,2.5,202.11047619047616,,,180.2709523809524,86.89440885657544,76.95191825782292,72.41908764811328,213.8209523809524,0.6900434769724479,596.72,191.7,498.95666666666665,112.37246535319176,774.7085714285714,116.66192387712044,774.7085714285714,109.45218847914347,774.7085714285714,107.47717155424256,1108.847619047619,1.5,72.09809523809524,2.8,459.85428571428577,117.63051565675758
2004-12-01,2.4,194.2519047619048,,,175.5909523809524,87.00989304681292,73.17053171503082,72.73056608291894,211.97142857142856,0.8597964237514029,576.17,191.7,473.1180952380952,112.5449228153158,771.4442857142857,116.9533567061252,771.4442857142857,109.64567643429494,771.4442857142857,107.62523509741638,1111.34,1.8,69.6147619047619,2.4,441.9795238095238,117.85778378302652
2005-01-01,2.3,195.0004761904762,,,175.6757142857143,87.1253772370504,74.0775642943158,73.0420445177246,213.2795238095238,0.5798442632517989,574.1195238095238,191.6,469.4933333333333,112.71764494704686,754.5071428571429,117.24551756267311,754.5071428571429,109.83950643458328,754.5071428571429,107.77350261704863,1079.435238095238,1.7,69.3652380952381,1.9,439.70047619047625,118.08549100284982
2005-02-01,2.2,196.8215,,,176.02249999999998,87.27075014093703,73.81773696894832,73.30270698670995,220.54900000000004,0.5901783382998448,573.5840000000001,192.4,462.978,112.92348682157724,746.1845000000001,117.56969076976416,746.1845000000001,109.9980463030598,746.1845000000001,107.91145725547317,1081.4540000000002,1.7,69.303,3.9,447.9205,118.3471663922922
2005-03-01,2.4,200.57181818181817,,,179.98727272727274,87.41612304482364,73.2680879866987,73.5633694556953,217.43227272727276,0.6097887576378039,586.4827272727273,193.1,482.20772727272725,113.1297045988984,774.4599999999999,117.89476028632934,774.4599999999999,110.15681500440996,774.4599999999999,108.04958848166558,1118.2063636363637,2.0,70.86,2.7,460.8404545454545,118.60942164983572
2005-04-01,2.9,200.2142857142857,,,178.18333333333334,87.56149594871025,71.9090677105593,73.82403192468063,224.8485714285714,0.8698251749683749,580.4557142857143,193.7,470.3714285714285,113.33629896547376,751.3185714285714,118.220728590583,751.3185714285714,110.31581286892596,751.3185714285714,108.18789652166566,1100.0957142857142,1.9,70.13428571428571,1.8,448.78523809523807,118.87225806045797
2005-05-01,2.7,200.11952380952383,,,177.69476190476192,87.70686885259687,71.65689281006937,74.08469439366597,235.79761904761904,0.4900308958998929,578.3090476190476,193.6,460.757619047619,113.54327060902033,735.2252380952381,118.54759816759145,735.2252380952381,110.47504022737677,735.2252380952381,108.32638160180258,1075.0257142857142,1.9,69.87047619047618,1.8,443.62619047619046,119.13567691198404
2005-06-01,2.7,203.20666666666668,,,180.0204761904762,87.8522417564835,72.4547689561802,74.34535686265131,242.18571428571423,-0.0202005510710362,585.4733333333334,193.7,471.4242857142857,113.75062021851092,712.2933333333333,118.87537150929197,712.2933333333333,110.63449741100877,712.2933333333333,108.46504394869518,1064.6766666666667,2.0,70.73904761904762,1.6,448.5228571428571,119.39967949509284
2005-07-01,3.1,200.71904761904764,,,177.05904761904762,87.9976146603701,71.3402978811658,74.60601933163665,242.88,0.250133350574605,575.7661904761904,194.9,470.5257142857144,113.9583484841766,693.5633333333333,119.20405111451188,693.5633333333333,110.7941847515464,693.5633333333333,108.6038837892524,1009.5028571428572,2.3,69.96380952380953,1.8,433.3490476190476,119.6642671033234
2005-08-01,3.0,189.515,,,167.8459090909091,88.14298756425671,67.80111595770265,74.86668180062199,231.59045454545452,0.170101617577738,546.6095454545455,196.1,453.01454545454544,114.16645609750888,671.4577272727273,119.53363948898748,671.4577272727273,110.954102581193,671.4577272727273,108.74290135067363,979.1772727272728,2.4,67.465,1.3,416.1022727272728,119.92944103308116
2005-09-01,3.9,184.4,,,162.42523809523811,88.28836046814334,66.87608032165133,75.12734426960733,233.53,0.350087924380984,536.7004761904763,198.8,454.9690476190476,114.37494375126212,658.1009523809523,119.86413914538323,658.1009523809523,111.11425123263136,658.1009523809523,108.8820968604491,971.1576190476192,2.5,66.32142857142857,0.9,410.4014285714286,120.19520258364436
2005-10-01,4.1,180.763,,,158.4415,88.43373337202996,67.03999606217435,75.38800673859268,237.4,0.7498626588445679,535.4970000000001,199.1,455.038,114.58381213945567,643.817,120.19555260331089,643.817,111.27463103902444,643.817,109.0214705463602,944.838,2.4,66.1945,1.2,403.846,120.46155305717056
2005-11-01,3.6,178.7795238095238,,,157.06333333333333,88.57910627591657,66.38810516352301,75.64866920757802,239.77761904761903,0.5500519405052509,529.8814285714286,198.1,448.27476190476193,114.79306195737638,624.7342857142858,120.52788238934868,624.7342857142858,111.43524233401604,624.7342857142858,109.16102263647994,919.6338095238096,2.2,65.54714285714286,1.3,389.8347619047619,120.7284937587027
2005-12-01,3.7,170.8752380952381,,,150.29190476190476,88.72447917980318,64.53076452808915,75.90933167656335,225.76761904761904,0.3598133245722059,514.3309523809525,198.1,442.58809523809526,115.00269390158074,609.86,120.8611310370606,609.86,111.59608545173168,609.86,109.30075335917324,897.7133333333334,2.1,63.68476190476191,1.6,381.3690476190476,120.99602599617576
2006-01-01,4.1,172.25954545454545,,,154.49454545454546,88.8698520836898,66.05717891229006,76.1699941455487,230.4790909090909,0.590044963319396,524.4768181818182,199.3,452.7990909090909,115.2127086698973,634.6372727272727,121.19530108701572,634.6372727272727,111.757160726779,634.6372727272727,109.44066294309737,924.9790909090908,2.2,65.02499999999999,1.9,392.8763636363637,121.26415108042312
2006-02-01,4.1,171.345,,,159.89,89.00167469388849,66.03698475448608,76.72258264931826,243.301,0.4101381765711599,525.7045,199.4,457.37299999999993,115.4031827848837,628.204,121.5447646752794,628.204,111.91198159569235,628.204,109.58349536301486,919.3525,2.2,65.29249999999999,0.9,390.0475,121.61770035785234
